sucursala,numar_comanda
Brasov,2066419
Brasov,2066451
Brasov,2066455
Brasov,2066475
Brasov,2066513
Brasov,2066614
Brasov,2066623
Brasov,2066743
Brasov,2066759
Brasov,2066787
Brasov,2066826
Brasov,2066831
Brasov,2066839
Brasov,2066859
Brasov,2066887
Brasov,2066960
Brasov,2067072
Brasov,2067103
Brasov,2067312
Brasov,2067322
Brasov,2067381
Brasov,2067390
Brasov,2067438
Brasov,2067519
Brasov,2067533
Brasov,2067555
Brasov,2067588
Brasov,2067596
Brasov,2067601
Brasov,2067673
Brasov,2067778
Brasov,2067783
Brasov,2067787
Brasov,2067815
Brasov,2067861
Brasov,2067896
Brasov,2067977
Brasov,2068173
Brasov,2068179
Brasov,2068194
Brasov,2068215
Brasov,2068240
Brasov,2068354
Brasov,2068364
Brasov,2068409
Brasov,2068437
Brasov,2068465
Brasov,2068469
Brasov,2068500
Brasov,2068513
Brasov,2068517
Brasov,2068662
Brasov,2068712
Brasov,2068769
Brasov,2068828
Brasov,2068854
Brasov,2068979
Brasov,2069001
Brasov,2069026
Brasov,2069189
Brasov,2069196
Brasov,2069264
Brasov,2069290
Brasov,2069314
Brasov,2069317
Brasov,2069371
Brasov,2069396
Brasov,2069404
Brasov,2069466
Brasov,2069528
Brasov,2069645
Brasov,2069653
Brasov,2069711
Brasov,2069758
Brasov,2069793
Brasov,2069915
Brasov,2070003
Brasov,2070004
Brasov,2070018
Brasov,2070059
Brasov,2070080
Brasov,2070134
Brasov,2070172
Brasov,2070186
Brasov,2070205
Brasov,2070234
Brasov,2070248
Brasov,2070351
Brasov,2070379
Brasov,2070411
Brasov,2070434
Brasov,2070438
Brasov,2070476
Brasov,2070496
Brasov,2070508
Brasov,2070514
Brasov,2070550
Brasov,2070585
Brasov,2070646
Brasov,2070723
Brasov,2070773
Brasov,2070785
Brasov,2070867
Brasov,2070871
Brasov,2070875
Brasov,2070883
Brasov,2070891
Brasov,2070894
Brasov,2070910
Brasov,2071006
Brasov,2071008
Brasov,2071045
Brasov,2071359
Brasov,2071511
Brasov,2071529
Brasov,2071588
Brasov,2071600
Brasov,2071625
Brasov,2071630
Brasov,2071653
Brasov,2071661
Brasov,2071690
Brasov,2071723
Brasov,2071745
Brasov,2071765
Brasov,2071857
Brasov,2071909
Brasov,2071922
Brasov,2071938
Brasov,2072005
Brasov,2072040
Brasov,2072077
Brasov,2072125
Brasov,2072171
Brasov,2072254
Brasov,2072277
Brasov,2072330
Brasov,2072346
Brasov,2072407
Brasov,2072538
Brasov,2072699
Brasov,2072738
Brasov,2072832
Brasov,2072841
Brasov,2072854
Brasov,2072883
Brasov,2072885
Brasov,2072907
Brasov,2072911
Brasov,2072941
Brasov,2072967
Brasov,2073139
Brasov,2073144
Brasov,2073161
Brasov,2073177
Brasov,2073224
Brasov,2073245
Brasov,2073249
Brasov,2073346
Brasov,2073392
Brasov,2073463
Brasov,2073483
Brasov,2073638
Brasov,2073676
Brasov,2073749
Brasov,2073766
Brasov,2073782
Brasov,2073792
Brasov,2073795
Brasov,2073864
Brasov,2073909
Brasov,2073935
Brasov,2074004
Brasov,2074049
Brasov,2074060
Brasov,2074096
Brasov,2074118
Brasov,2074169
Brasov,2074251
Brasov,2074296
Brasov,2074314
Brasov,2074316
Brasov,2074326
Brasov,2074346
Brasov,2074349
Brasov,2074425
Brasov,2074430
Brasov,2074468
Brasov,2074472
Brasov,2074529
Brasov,2074568
Brasov,2074692
Brasov,2074695
Brasov,2074709
Brasov,2074911
Brasov,2074914
Brasov,2074941
Brasov,2074977
Brasov,2075006
Brasov,2075118
Brasov,2075141
Brasov,2075145
Brasov,2075233
Brasov,2075265
Brasov,2075370
Brasov,2075372
Brasov,2075419
Brasov,2075465
Brasov,2075587
Brasov,2075606
Brasov,2075709
Brasov,2075813
Brasov,2075829
Brasov,2075852
Brasov,2075861
Brasov,2075908
Brasov,2075969
Brasov,2075994
Brasov,2076001
Brasov,2076004
Brasov,2076066
Brasov,2076084
Brasov,2076096
Brasov,2076121
Brasov,2076150
Brasov,2076179
Brasov,2076270
Brasov,2076322
Brasov,2076418
Brasov,2076469
Brasov,2076559
Brasov,2076604
Brasov,2076636
Brasov,2076653
Brasov,2076667
Brasov,2076679
Brasov,2076725
Brasov,2076763
Brasov,2076782
Brasov,2076796
Brasov,2076801
Brasov,2076900
Brasov,2076954
Brasov,2076965
Brasov,2077079
Brasov,2077110
Brasov,2077128
Brasov,2077167
Brasov,2077182
Brasov,2077225
Brasov,2077245
Brasov,2077253
Brasov,2077271
Brasov,2077290
Brasov,2077310
Brasov,2077347
Brasov,2077361
Brasov,2077388
Brasov,2077470
Brasov,2077479
Brasov,2077490
Brasov,2077499
Brasov,2077542
Brasov,2077552
Brasov,2077601
Brasov,2077634
Brasov,2077797
Brasov,2077920
Brasov,2078006
Brasov,2078119
Brasov,2078172
Brasov,2078190
Brasov,2078218
Brasov,2078378
Brasov,2078401
Brasov,2078450
Brasov,2078461
Brasov,2078551
Brasov,2078554
Brasov,2078566
Brasov,2078647
Brasov,2078662
Brasov,2078679
Brasov,2078693
Brasov,2078708
Brasov,2078758
Brasov,2078760
Brasov,2078800
Brasov,2078828
Brasov,2078872
Brasov,2078948
Brasov,2079015
Brasov,2079025
Brasov,2079137
Brasov,2079199
Brasov,2079246
Brasov,2079253
Brasov,2079280
Brasov,2079355
Brasov,2079372
Brasov,2079464
Brasov,2079519
Brasov,2079639
Brasov,2079658
Brasov,2079819
Brasov,2079851
Brasov,2079884
Brasov,2079895
Brasov,2079929
Brasov,2079969
Brasov,2079984
Brasov,2080002
Brasov,2080037
Brasov,2080293
Brasov,2080294
Brasov,2080370
Brasov,2080399
Brasov,2080408
Brasov,2080468
Brasov,2080489
Brasov,2080603
Brasov,2080613
Brasov,2080623
Brasov,2080648
Brasov,2080708
Brasov,2080750
Brasov,2080828
Brasov,2080837
Brasov,2080851
Brasov,2080876
Brasov,2080906
Brasov,2080917
Brasov,2080920
Brasov,2080967
Brasov,2080993
Brasov,2081021
Brasov,2081209
Brasov,2081306
Brasov,2081339
Brasov,2081354
Brasov,2081395
Brasov,2081416
Brasov,2081434
Brasov,2081468
Brasov,2081472
Brasov,2081486
Brasov,2081522
Brasov,2081554
Brasov,2081578
Brasov,2081587
Brasov,2081593
Brasov,2081597
Brasov,2081625
Brasov,2081673
Brasov,2081683
Brasov,2081685
Brasov,2081755
Brasov,2081770
Brasov,2081783
Brasov,2081813
Brasov,2081816
Brasov,2081959
Brasov,2081985
Brasov,2081997
Brasov,2082032
Brasov,2082046
Brasov,2082052
Brasov,2082066
Brasov,2082083
Brasov,2082086
Brasov,2082095
Brasov,2082104
Brasov,2082172
