numar_factura,data
2410003449,1/22/2024
2410003452,1/22/2024
2410003460,1/22/2024
2410003463,1/22/2024
2410003464,1/22/2024
2410003474,1/22/2024
2410003475,1/22/2024
2410003481,1/22/2024
2410003498,1/22/2024
2410003502,1/22/2024
2410003503,1/22/2024
2410003508,1/22/2024
2410003514,1/22/2024
2410003520,1/22/2024
2410003521,1/22/2024
2410003532,1/22/2024
2410003551,1/22/2024
2410003553,1/22/2024
2410003557,1/22/2024
2410003565,1/22/2024
2410003567,1/22/2024
2410003601,1/23/2024
2410003605,1/23/2024
2410003607,1/23/2024
2410003610,1/23/2024
2410003611,1/23/2024
2410003619,1/23/2024
2410003620,1/23/2024
2410003626,1/23/2024
2410003630,1/23/2024
2410003638,1/23/2024
2410003656,1/23/2024
2410003665,1/23/2024
2410003671,1/23/2024
2410003672,1/23/2024
2410003673,1/23/2024
2410003675,1/23/2024
2410003688,1/23/2024
2410003692,1/23/2024
2410003693,1/23/2024
2410003700,1/23/2024
2410003704,1/23/2024
2410003706,1/23/2024
2410003711,1/23/2024
2410003719,1/23/2024
2410003724,1/23/2024
2410003738,1/23/2024
2410003743,1/23/2024
2410003753,1/23/2024
2410003755,1/23/2024
2410003757,1/23/2024
2410003761,1/23/2024
2410003764,1/23/2024
2410003769,1/23/2024
2410003771,1/23/2024
2410003772,1/23/2024
2410003780,1/23/2024
2410003782,1/23/2024
2410003797,1/23/2024
2410003799,1/23/2024
2410003807,1/23/2024
2410003810,1/23/2024
2410003815,1/23/2024
2410003826,1/25/2024
2410003827,1/25/2024
2410003841,1/25/2024
2410003850,1/25/2024
2410003858,1/25/2024
2410003866,1/25/2024
2410003867,1/25/2024
2410003872,1/25/2024
2410003874,1/25/2024
2410003884,1/25/2024
2410003895,1/25/2024
2410003898,1/25/2024
2410003901,1/25/2024
2410003904,1/25/2024
2410003906,1/25/2024
2410003907,1/25/2024
2410003911,1/25/2024
2410003915,1/25/2024
2410003920,1/25/2024
2410003923,1/25/2024
2410003928,1/25/2024
2410003930,1/25/2024
2410003932,1/25/2024
2410003934,1/25/2024
2410003935,1/25/2024
2410003937,1/25/2024
2410003938,1/25/2024
2410003940,1/25/2024
2410003942,1/25/2024
2410003943,1/25/2024
2410003947,1/25/2024
2410003949,1/25/2024
2410003952,1/25/2024
2410003953,1/25/2024
2410003955,1/25/2024
2410003971,1/25/2024
2410003974,1/25/2024
2410003977,1/25/2024
2410003988,1/25/2024
2410004001,1/25/2024
2410004002,1/25/2024
2410004024,1/25/2024
2410004040,1/25/2024
2410004041,1/25/2024
2410004056,1/25/2024
2410004063,1/25/2024
2410004068,1/25/2024
2410004069,1/25/2024
2410004075,1/25/2024
2410004082,1/25/2024
2410004086,1/25/2024
2410004088,1/25/2024
2410004099,1/25/2024
2410004101,1/25/2024
2410004107,1/25/2024
2410004112,1/25/2024
2410004114,1/25/2024
2410004123,1/25/2024
2410004125,1/25/2024
2410004132,1/25/2024
2410004133,1/25/2024
