numar_factura,numar_comanda,cod_articol,id_cantitate
2410000914,2041554,3209347,1||2041554||1||1
2410000922,2041724,5910,1||2041724||1||1
2410000925,2041293,2235236,1||2041293||1||3
2410000925,2041293,5846071,1||2041293||1||4
2410000931,2041537,3212497,1||2041537||2||1
2410000944,2041336,2226313,1||2041336||1||1
2410000944,2041336,3292415,1||2041336||1||2
2410000945,2041369,3224491,1||2041369||1||1
2410000958,2041774,2091662,1||2041774||3||7
2410000970,2041747,4833688,1||2041747||1||4
2410000972,2041745,1058058,1||2041745||1||1
2410001006,2041774,1613352,1||2041774||2||1
2410001026,2042187,1606806,1||2042187||1||1
2410001029,2042034,1954467,1||2042034||2||1
2410001030,2042164,3537540,1||2042164||3||2
2410001030,2042164,5680354,1||2042164||3||6
2410001032,2042161,2563883,1||2042161||1||1
2410001042,2025828,5499662,1||2025828||2||2
2410001056,2042162,3211078,1||2042162||1||1
2410001057,2041543,24231,1||2041543||1||2
2410001058,2041531,1248939,1||2041531||1||1
2410001058,2041531,1323529,1||2041531||1||2
2410001062,2041717,2532077,1||2041717||1||5
2410001062,2041717,3105034,1||2041717||1||3
2410001062,2041717,3737476,1||2041717||1||4
2410001062,2041717,3749178,1||2041717||1||1
2410001062,2041717,3749335,1||2041717||1||2
2410001077,2042380,1720014,1||2042380||1||1
2410001086,2042386,1620751,1||2042386||3||6
2410001086,2042386,1949295,1||2042386||3||4
2410001086,2042386,3262096,1||2042386||3||5
2410001086,2042386,4767183,1||2042386||3||2
2410001087,2042331,3580583,1||2042331||1||1
2410001092,2042477,5032304,1||2042477||1||1
2410001093,2042148,5045921,1||2042148||1||1
2410001097,2042363,3223507,1||2042363||1||2
2410001097,2042363,4829124,1||2042363||1||1
2410001100,2040405,841584,1||2040405||1||1
2410001100,2040405,1532967,1||2040405||1||2
2410001102,2042417,2232963,1||2042417||1||3
2410001107,2042614,3157314,1||2042614||2||1
2410001132,2034747,1963058,1||2034747||1||1
2410001136,2042304,3769755,1||2042304||1||1
2410001143,2042714,2307301,1||2042714||1||1
2410001145,2042398,1697793,1||2042398||1||1
2410001156,2042570,1201627,1||2042570||2||2
2410001158,2042427,3287341,1||2042427||2||4
2410001158,2042427,5754762,1||2042427||2||1
2410001174,2038727,5752752,1||2038727||4||11
2410001181,1985440,5449,1||1985440||2||22
2410001181,1985440,5562,1||1985440||2||7
2410001181,1985440,5563,1||1985440||2||8
2410001181,1985440,6660,1||1985440||2||10
2410001181,1985440,6900,1||1985440||2||9
2410001181,1985440,8307,1||1985440||2||11
2410001181,1985440,8602,1||1985440||2||23
2410001181,1985440,214974,1||1985440||2||5
2410001181,1985440,1621954,1||1985440||2||6
2410001181,1985440,5454895,1||1985440||2||27
2410001181,1985440,5454895,1||1985440||2||28
2410001181,1985440,5454895,1||1985440||2||29
2410001181,1985440,5454895,1||1985440||2||30
2410001181,1985440,5454895,1||1985440||2||31
2410001181,1985440,5454895,1||1985440||2||32
2410001181,1985440,5454895,1||1985440||2||33
2410001181,1985440,5454895,1||1985440||2||34
2410001181,1985440,5454895,1||1985440||2||35
2410001194,2042939,1054599,1||2042939||1||1
2410001194,2042939,2306375,1||2042939||1||2
2410001195,2039314,4922,1||2039314||1||5
2410001195,2039314,1615178,1||2039314||1||8
2410001195,2039314,2225028,1||2039314||1||4
2410001195,2039314,3213231,1||2039314||1||6
2410001195,2039314,3286469,1||2039314||1||3
2410001195,2039314,3286648,1||2039314||1||7
2410001206,2042066,3784771,1||2042066||1||2
2410001212,2043027,4806429,1||2043027||1||3
2410001215,2043112,9870,1||2043112||1||1
2410001215,2043112,2296237,1||2043112||1||2
2410001216,2043091,79963,1||2043091||1||5
2410001216,2043091,2544947,1||2043091||1||2
2410001236,2043168,1613352,1||2043168||1||2
2410001236,2043168,1613353,1||2043168||1||1
2410001240,2042883,5560,1||2042883||2||4
2410001240,2042883,5561,1||2042883||2||3
2410001240,2042883,861301,1||2042883||2||8
2410001240,2042883,5753539,1||2042883||2||11
2410001255,2042181,1018642,1||2042181||1||8
2410001255,2042181,2226858,1||2042181||1||7
2410001255,2042181,2566358,1||2042181||1||6
2410001255,2042181,2566359,1||2042181||1||5
2410001255,2042181,3805574,1||2042181||1||2
2410001256,2038727,5189,1||2038727||6||3
2410001257,2043013,5688368,1||2043013||1||1
2410001260,2043145,2343257,1||2043145||2||10
2410001260,2043145,2348078,1||2043145||2||13
2410001260,2043145,4798147,1||2043145||2||12
2410001261,2042614,2355251,1||2042614||5||4
2410001261,2042614,2540671,1||2042614||5||3
2410001277,2043134,2859856,1||2043134||1||1
2410001277,2043134,2859857,1||2043134||1||3
2410001277,2043134,2860048,1||2043134||1||4
2410001277,2043134,2860049,1||2043134||1||2
2410001278,2043003,2801444,1||2043003||1||1
2410001281,2035775,3213615,1||2035775||1||1
2410001286,2043232,3223507,1||2043232||1||2
2410001286,2043232,3223507,1||2043232||1||4
2410001286,2043232,4897861,1||2043232||1||1
2410001286,2043232,4992294,1||2043232||1||3
2410001288,2042727,2816569,1||2042727||1||1
2410001290,2043139,4802293,1||2043139||1||1
2410001296,2043329,3285411,1||2043329||2||2
2410001303,2043448,1011171,1||2043448||1||1
2410001308,2043549,1641021,1||2043549||1||1
2410001311,2043518,2305855,1||2043518||1||4
2410001311,2043518,3785799,1||2043518||1||2
2410001312,2043567,1641021,1||2043567||1||1
2410001318,2043532,1013825,1||2043532||1||1
2410001318,2043532,2845600,1||2043532||1||3
2410001318,2043532,3288728,1||2043532||1||2
2410001318,2043532,3737421,1||2043532||1||4
2410001331,2043616,5455107,1||2043616||1||1
2410001331,2043616,5698731,1||2043616||1||2
2410001332,2043578,23706,1||2043578||1||2
2410001338,2043584,1071256,1||2043584||1||1
2410001345,2043576,3787849,1||2043576||1||1
2410001348,2007015,5819771,1||2007015||1||2
2410001348,2007015,5820439,1||2007015||1||1
2410001352,2043404,3785407,1||2043404||1||1
2410001354,2043683,5845337,1||2043683||1||1
2410001356,2043612,1010716,1||2043612||1||4
2410001356,2043612,2255500,1||2043612||1||3
2410001356,2043612,2798716,1||2043612||1||5
2410001356,2043612,3157115,1||2043612||1||1
2410001361,2028914,5050192,1||2028914||2||2
2410001379,2043934,3794236,1||2043934||1||1
2410001398,2043470,2304031,1||2043470||1||1
2410001411,2043922,2540884,1||2043922||1||1
2410001423,2044067,2564625,1||2044067||1||2
2410001430,2043627,4921,1||2043627||1||1
2410001430,2043627,22809,1||2043627||1||2
2410001441,2044218,1309473,1||2044218||1||1
2410001442,2044045,2798578,1||2044045||1||1
2410001446,2044112,4757049,1||2044112||1||1
2410001446,2044112,4757050,1||2044112||1||2
2410001450,2044078,4757049,1||2044078||1||1
2410001450,2044078,4757050,1||2044078||1||2
2410001451,2044132,3785799,1||2044132||1||1
2410001451,2044132,5638343,1||2044132||1||2
2410001457,2044144,2539835,1||2044144||2||2
2410001472,2041400,74166,1||2041400||4||11
2410001472,2041400,1601390,1||2041400||4||20
2410001479,2044269,3252958,1||2044269||2||4
2410001481,2044244,1598247,1||2044244||1||1
2410001481,2044244,1601374,1||2044244||1||2
2410001481,2044244,1601435,1||2044244||1||3
2410001483,2044248,1595707,1||2044248||2||4
2410001495,2044041,1602452,1||2044041||1||1
2410001496,2044287,2813112,1||2044287||1||1
2410001498,2044014,1196772,1||2044014||1||5
2410001498,2044014,2245434,1||2044014||1||3
2410001498,2044014,4705697,1||2044014||1||1
2410001505,2043240,3102651,1||2043240||3||1
2410001513,2044200,8586,1||2044200||1||14
2410001513,2044200,71135,1||2044200||1||3
2410001513,2044200,74545,1||2044200||1||1
2410001513,2044200,172131,1||2044200||1||7
